Province,Year,Quarter,CPI Average,CPI value Cumulative ,CPI Compounded
Alberta,2021,1,0.3765263441948274,0.7544581618655654,0.7544581618655677
Alberta,2021,2,0.4519385572025284,0.8124576844956108,1.3614703880190593
Alberta,2021,3,0.4245044021056225,0.332667997338656,1.2760241773001946
Alberta,2021,4,0.1987202142594697,0.1320132013201245,0.5968169761273012
Alberta,2022,1,1.044059728721643,2.42146596858638,3.1641397495056234
Alberta,2022,2,1.0342240836601329,2.8025477707006403,3.1309904153354884
Alberta,2022,3,-0.2683033870301591,-0.805452292441147,-0.8054522924411556
Alberta,2022,4,0.1477258176717881,-0.6180469715698393,0.4372267332916957
Alberta,2023,1,0.1878623474670937,0.747663551401862,0.5597014925373234
Alberta,2023,2,0.554674385291872,0.4276114844227349,1.6697588126159737
Alberta,2023,3,0.3251824712071008,0.0,0.9732360097323812
British Columbia,2021,1,0.4854106105462441,0.9730538922155774,0.9730538922155584
British Columbia,2021,2,0.2221857237610739,0.4437869822485375,0.6671608598962209
British Columbia,2021,3,0.3427277975367904,0.365764447695684,1.0309278350515203
British Columbia,2021,4,0.1942751392709126,0.0725163161711343,0.5830903790087438
British Columbia,2022,1,1.194568240084215,2.582496413199422,3.623188405797073
British Columbia,2022,2,0.8101867807615237,1.595006934812768,2.447552447552437
British Columbia,2022,3,0.2961889547850075,0.1355013550135617,0.8873720136518992
British Columbia,2022,4,-0.1568070707308688,-1.009421265141319,-0.4736129905277497
British Columbia,2023,1,0.5858145288462216,1.0803511141120827,1.7675050985724194
British Columbia,2023,2,0.4212963446659075,0.7978723404255244,1.2692050768203125
British Columbia,2023,3,0.241359066955904,0.3944773175542369,0.7255936675461871
Manitoba,2021,1,0.3963841737426365,0.7942238267147973,0.7942238267148127
Manitoba,2021,2,0.5463772295331829,0.9246088193456696,1.6475644699140537
Manitoba,2021,3,0.3978970417384116,0.5602240896358424,1.1980267794221122
Manitoba,2021,4,0.0939252069624825,-0.4149377593360956,0.278551532033422
Manitoba,2022,1,1.3480666560174104,2.600958247775504,4.097222222222241
Manitoba,2022,2,1.1875741240678472,2.779616148246206,3.602401601067373
Manitoba,2022,3,-0.0208807280043614,-0.0643915003219721,-0.0643915003219586
Manitoba,2022,4,0.0675098201911583,-0.7657945118059916,0.1932989690721642
Manitoba,2023,1,0.4693943604514731,0.9603072983354676,1.414790996784565
Manitoba,2023,2,0.170889705436672,-0.5646173149309948,0.5072923272035457
Manitoba,2023,3,0.1473977883319081,-0.0627746390458397,0.441640378548902
New Brunswick,2021,1,0.3611423837431959,0.7235890014471781,0.723589001447178
New Brunswick,2021,2,0.5483284851031778,0.8553100498930781,1.652298850574696
New Brunswick,2021,3,0.4224603945638024,0.5614035087719378,1.2720848056537282
New Brunswick,2021,4,0.2330464400113308,-0.138408304498262,0.6978367062107527
New Brunswick,2022,1,1.1877363129204028,2.7491408934707904,3.603603603603589
New Brunswick,2022,2,1.082791467610959,2.3194168323392974,3.277591973244176
New Brunswick,2022,3,-0.2814289347012259,-0.5198180636777201,-0.8419689119171014
New Brunswick,2022,4,0.0723429226245168,-0.6476683937823834,0.1959503592423583
New Brunswick,2023,1,0.5194249608184635,0.5810200129115595,1.5645371577575062
New Brunswick,2023,2,0.3847145363363983,0.127064803049548,1.1553273427470812
New Brunswick,2023,3,0.3583067494560203,0.6317119393556537,1.078680203045712
Newfoundland and Labrador,2021,1,0.2817149200622537,0.5629838142153494,0.5629838142153565
Newfoundland and Labrador,2021,2,0.3488884654291165,0.627177700348436,1.0496850944716751
Newfoundland and Labrador,2021,3,0.277451624874762,-0.137174211248297,0.8310249307479145
Newfoundland and Labrador,2021,4,0.1612848662594331,-0.3405994550408719,0.4807692307692512
Newfoundland and Labrador,2022,1,1.2605452086771107,2.774018944519617,3.827751196172247
Newfoundland and Labrador,2022,2,0.9369884669904036,2.091503267973849,2.8308097432521384
Newfoundland and Labrador,2022,3,-0.3640193699345428,-0.8980115458627362,-1.0883482714468595
Newfoundland and Labrador,2022,4,0.0274889046655587,-1.1508951406649688,0.0647249190938392
Newfoundland and Labrador,2023,1,0.5163017703774327,0.7055805003207147,1.5523932729624823
Newfoundland and Labrador,2023,2,0.4022445987258353,0.3790271636133887,1.2101910828025586
Newfoundland and Labrador,2023,3,0.3977030097738828,0.6257822277847309,1.195720578980497
Nova Scotia,2021,1,0.5333032300913643,1.0691375623663577,1.0691375623663513
Nova Scotia,2021,2,0.328227687263712,0.6324666198172714,0.9873060648801336
Nova Scotia,2021,3,0.325190852465725,0.277392510402223,0.9776536312849248
Nova Scotia,2021,4,0.1855376679138117,-0.3427004797806717,0.5532503457814641
Nova Scotia,2022,1,1.3574108620949394,2.8532608695652293,4.126547455295726
Nova Scotia,2022,2,1.1132216395029149,2.6902887139107574,3.368560105680296
Nova Scotia,2022,3,-0.2771656483163243,-0.9572431397574984,-0.8306709265175738
Nova Scotia,2022,4,0.2634859336255883,-0.4455760661998655,0.773195876288657
Nova Scotia,2023,1,0.4249160898777211,0.6993006993006956,1.2787723785166127
Nova Scotia,2023,2,0.2107141253670989,0.0627746390458219,0.631313131313127
Nova Scotia,2023,3,0.6883385655412653,0.3701418877236239,2.0702634880802817
Ontario,2021,1,0.5362027620552379,1.0752688172043012,1.0752688172043223
Ontario,2021,2,0.4940606389289614,0.9167842031029496,1.489361702127634
Ontario,2021,3,0.3019445530594299,0.48712595685457,0.9084556254367326
Ontario,2021,4,0.3687265159249664,0.2059025394646612,1.1080332409972191
Ontario,2022,1,1.0842622010929892,2.3066485753052954,3.2876712328767432
