Province,YEAR,QUARTER,Quarterly Avg Temp (°C),Quarterly Sum Precip (mm),CPI Average,CPI value Cumulative ,CPI Compounded,Excellent_Very_Good,Good,Fair_Poor,Debt_to_Asset_Ratio,Mortgage_Debt_to_Real_Estate_Ratio,Depression,Anxiety,Therapy,Stress,Unemployment Rate
New Brunswick,2021,3,17.42,308,0.422460395,0.561403509,1.272084806,51.9,31.5,16.6,0.168638858,0.261507747,0.21,0.41,0.22,0.16,9.566666667
New Brunswick,2021,4,2.78,173,0.23304644,-0.138408304,0.697836706,44.8,35.5,19.7,0.161859992,0.245455736,0.21,0.36,0.23,0.2,8.466666667
New Brunswick,2022,1,-6.32,218,1.187736313,2.749140893,3.603603604,46.7,35.8,17.5,0.163834013,0.239745877,0.2,0.37,0.23,0.2,7.7
New Brunswick,2022,2,10.74,291,1.082791468,2.319416832,3.277591973,44.9,34.9,20.1,0.175785825,0.260544401,0.21,0.36,0.26,0.17,6.866666667
New Brunswick,2022,3,17.71,351,-0.281428935,-0.519818064,-0.841968912,51.7,34.8,13.5,0.18095032,0.27520191,0.19,0.42,0.25,0.14,6.966666667
New Brunswick,2022,4,3.74,275,0.072342923,-0.647668394,0.195950359,41,34.7,24.3,0.181252342,0.281918295,0.22,0.36,0.25,0.17,7.3
New Brunswick,2023,1,-4.64,176,0.519424961,0.581020013,1.564537158,44.3,35.2,20.5,0.177583657,0.275054563,0.2,0.36,0.26,0.18,6.333333333
New Brunswick,2023,2,10.59,284,0.384714536,0.127064803,1.155327343,47.6,35.7,16.7,0.178062717,0.27396046,0.18,0.35,0.29,0.18,6.4
New Brunswick,2023,3,17.52,448,0.358306749,0.631711939,1.078680203,46.6,31.8,21.6,0.173281645,0.264335957,0.18,0.37,0.27,0.18,7.45
Newfoundland and Labrador,2021,2,7.62,406,0.348888465,0.6271777,1.049685094,46.6,37.2,16.2,0.157803144,0.314508765,0.18,0.45,0.21,0.16,13
Newfoundland and Labrador,2021,3,15.14,276,0.277451625,-0.137174211,0.831024931,57,30.2,12.8,0.155591643,0.299498448,0.19,0.42,0.22,0.17,13.46666667
Newfoundland and Labrador,2021,4,3.78,480,0.161284866,-0.340599455,0.480769231,52.5,29.4,18.1,0.148205209,0.280799949,0.22,0.42,0.21,0.15,12.23333333
Newfoundland and Labrador,2022,1,-2,557,1.260545209,2.774018945,3.827751196,49.8,34.5,15.7,0.148619812,0.272645503,0.18,0.41,0.23,0.18,13.2
Newfoundland and Labrador,2022,2,6.88,345,0.936988467,2.091503268,2.830809743,52,29,19,0.157972365,0.294921456,0.21,0.42,0.21,0.16,10.66666667
Newfoundland and Labrador,2022,3,17.17,440,-0.36401937,-0.898011546,-1.088348271,50.2,31.2,18.6,0.159936205,0.306990777,0.2,0.37,0.27,0.16,10.53333333
Newfoundland and Labrador,2022,4,4.77,338,0.027488905,-1.150895141,0.064724919,46.9,32.3,20.8,0.158415183,0.3120243,0.2,0.38,0.25,0.17,10.16666667
Newfoundland and Labrador,2023,1,-3.26,398,0.51630177,0.7055805,1.552393273,48.4,32.8,18.8,0.154092482,0.303732238,0.18,0.38,0.28,0.16,10.46666667
Newfoundland and Labrador,2023,2,5.52,296,0.402244599,0.379027164,1.210191083,49.9,33.4,16.7,0.153809625,0.301826794,0.19,0.36,0.28,0.17,9.7
Newfoundland and Labrador,2023,3,16.74,302,0.39770301,0.625782228,1.195720579,50.6,30.5,19,0.157788541,0.308871022,0.19,0.41,0.24,0.16,9
Nova Scotia,2021,2,11.13,310,0.328227687,0.63246662,0.987306065,47,29.3,23.7,0.129937015,0.23035694,0.2,0.4,0.24,0.16,9.2
Nova Scotia,2021,3,17.5,419,0.325190852,0.27739251,0.977653631,50.8,30,19.2,0.129470736,0.22310206,0.17,0.43,0.24,0.16,8.133333333
Nova Scotia,2021,4,4.86,422,0.185537668,-0.34270048,0.553250346,37.6,36.7,25.7,0.127206828,0.215229316,0.19,0.37,0.27,0.17,8.033333333
Nova Scotia,2022,1,-3.01,481,1.357410862,2.85326087,4.126547455,39,36.6,24.4,0.128805558,0.211809119,0.2,0.37,0.28,0.15,6.866666667
Nova Scotia,2022,2,10.26,322,1.11322164,2.690288714,3.368560106,46.2,30.1,23.7,0.138597126,0.231600386,0.19,0.36,0.29,0.16,6.533333333
Nova Scotia,2022,3,19,286,-0.277165648,-0.95724314,-0.830670927,51.1,29,19.9,0.142458627,0.24581443,0.19,0.36,0.3,0.15,6.7
Nova Scotia,2022,4,5.98,376,0.263485934,-0.445576066,0.773195876,41.6,38.2,20.2,0.142678606,0.252893961,0.2,0.34,0.29,0.17,6.266666667
Nova Scotia,2023,1,-2.19,336,0.42491609,0.699300699,1.278772379,42.4,34,23.7,0.139324918,0.24744902,0.19,0.36,0.29,0.16,5.7
Nova Scotia,2023,2,10.05,301,0.210714125,0.062774639,0.631313131,43.1,29.8,27.2,0.13908871,0.245781184,0.18,0.35,0.31,0.16,6.366666667
Nova Scotia,2023,3,19,525,0.688338566,0.370141888,2.070263488,37.3,38.7,24,0.144282081,0.255062523,0.17,0.36,0.31,0.16,6.95
Ontario,2021,2,14.74,152,0.494060639,0.916784203,1.489361702,38.7,36.7,24.7,0.141716645,0.218870026,0.18,0.38,0.28,0.16,9.2
Ontario,2021,3,21.2,249,0.301944553,0.487125957,0.908455625,48.3,31.1,20.6,0.142111138,0.214150525,0.18,0.37,0.28,0.17,7.666666667
Ontario,2021,4,7.17,228,0.368726516,0.205902539,1.108033241,45.8,32.1,22,0.138567053,0.204846048,0.19,0.35,0.29,0.17,6.5
Ontario,2022,1,-2.51,180,1.084262201,2.306648575,3.287671233,44.9,33.6,21.5,0.140020514,0.202427775,0.18,0.33,0.31,0.18,6.166666667
Ontario,2022,2,14.31,135,0.790386971,1.846965699,2.387267905,45.6,31.7,22.7,0.152374572,0.222325554,0.19,0.33,0.31,0.17,5.366666667
Ontario,2022,3,21.3,182,-0.064627195,-0.323415265,-0.194300518,52.1,31.5,16.4,0.158184188,0.235969993,0.18,0.34,0.33,0.15,5.333333333
Ontario,2022,4,5.89,229,0.152195929,-0.257731959,0.454250487,44.6,32.4,23,0.158862084,0.241496292,0.19,0.32,0.32,0.17,5.466666667
Ontario,2023,1,0.73,243,0.53547515,1.027617213,1.61498708,45,33,22,0.155027667,0.235600836,0.17,0.32,0.34,0.17,5.2
Ontario,2023,2,14.54,258,0.232777532,0.316656111,0.699300699,45.3,33.5,21.1,0.15523538,0.234498206,0.17,0.3,0.37,0.16,5.366666667
Ontario,2023,3,20.93,153,0.27348917,0.062656642,0.820707071,44.1,33.8,22.1,0.158687295,0.239853215,0.16,0.31,0.37,0.16,5.85
Prince Edward Island,2021,2,9.9,278,0.629505177,1.117318436,1.900070373,48.7,33.1,18.1,0.136650797,0.215418361,0.19,0.41,0.26,0.14,10.86666667
Prince Edward Island,2021,3,18.12,393,0.482639336,0.204638472,1.450276243,52.1,31.4,16.4,0.137451258,0.210524042,0.15,0.47,0.22,0.16,11.03333333
Prince Edward Island,2021,4,4.5,318,0.114191422,-0.270635995,0.340367597,52.2,29.7,18.1,0.137005392,0.206407233,0.21,0.37,0.25,0.17,9
Prince Edward Island,2022,1,-4.38,399,1.625623615,3.409090909,4.952510176,53.2,31.7,15.1,0.139460335,0.204278761,0.2,0.4,0.26,0.14,9.333333333
Prince Edward Island,2022,2,9.03,255,1.260777239,2.948717949,3.813833226,49.8,32.5,17.7,0.151232639,0.224158606,0.2,0.39,0.22,0.19,7.366666667
Prince Edward Island,2022,3,17.5,341,-0.290745116,-0.809968847,-0.871731009,56.7,31,12.2,0.156608286,0.237933181,0.2,0.42,0.24,0.14,7.5
Prince Edward Island,2022,4,5.15,265,-0.072881732,-1.182327318,-0.251256281,47,32.5,20.6,0.158227408,0.245349275,0.19,0.38,0.27,0.16,6.433333333
Prince Edward Island,2023,1,-3.66,282,0.398975741,0.374765771,1.196473552,44.3,34.4,21.4,0.156195286,0.241837969,0.18,0.37,0.3,0.15,7
Prince Edward Island,2023,2,8.95,205,0.06297234,-0.432900433,0.186683261,41.6,36.2,22.2,0.157313052,0.242055043,0.17,0.35,0.27,0.21,7.533333333
Prince Edward Island,2023,3,18.73,389,0.560718439,-0.061050061,1.677018634,48.8,33.7,17.5,0.163442015,0.251930886,0.17,0.41,0.3,0.12,7.35
Quebec,2021,2,14.87,172,0.563270209,1.101321586,1.698670606,53,34.3,12.7,0.130916372,0.259851032,0.26,0.23,0.17,0.34,6.5
Quebec,2021,3,20.5,151,0.36195591,0.505415162,1.089324619,62,29.2,8.7,0.130523448,0.25145328,0.26,0.25,0.18,0.31,5.933333333
Quebec,2021,4,3.91,243,0.2396159,0,0.718390805,58.9,30,11.1,0.125616068,0.237217877,0.26,0.24,0.18,0.32,4.8
Quebec,2022,1,-7.26,210,1.012471412,2.409638554,3.067047076,55.8,31.1,13,0.126173876,0.231947019,0.27,0.23,0.17,0.33,4.533333333
Quebec,2022,2,13.82,352,0.960199315,2.199312715,2.906574394,56.8,31.8,11.3,0.135557149,0.252177434,0.25,0.22,0.17,0.36,4.366666667
