,Unnamed: 0,Quarterly Sum Precip (mm)_diff,CPI Compounded_diff,Debt_to_Asset_Ratio_diff,Mortgage_Debt_to_Real_Estate_Ratio_diff,Depression_diff,Anxiety_diff,Stress_diff,Unemployment Rate_diff,Quarterly Avg Temp (°C)_diff,Therapy_diff2
5,5,-0.6078596031673147,-0.5203691173250486,0.006550680513689011,0.025040888876409872,-0.18210502161889597,-0.16756187642912546,-0.12531328320801993,-0.10496043564849122,-1.3107527076839096,0.0025000000000000022
6,6,0.3764814222461865,-0.03989756070890116,0.01448641441027454,0.10805540556333448,-0.18952353788426435,-0.2583077031329244,0.0,-0.07185410379663737,-0.6303824774164744,0.007500000000000007
7,7,0.37489102483237247,-0.6511095642420752,0.0061580517545136715,0.09592635312410291,-0.19726124140064094,-0.04868059121898982,0.12531328320801993,-0.03054782985098603,-0.24492365868419208,-0.007500000000000007
8,8,-1.076560776078999,-0.36530790067987867,-0.009864501565869599,0.011455078315253275,-0.641622989361391,-0.09451922308223026,0.0,0.001476015057662483,0.037756409414365866,0.0050000000000000044
9,9,0.052778186154407436,0.4446720754330952,-0.008583675465726692,-0.00997442815201477,0.0,0.0,0.12987012987012925,0.008810629682155069,-0.022354297391687705,-0.007500000000000007
10,10,0.32344135219424963,0.0574835316511314,-0.05544864276278383,-0.46691460180539207,0.0,0.19285052056168794,0.0,0.054067221284126,0.7740591847116214,-0.017500000000000127
11,11,1.501310300711875,0.11780658562854918,-0.050486059012869955,-0.47100355247479186,0.4362903903537978,0.31927309898902767,0.0,0.019204979849373416,1.7471839890525853,-0.007499999999999785
12,12,4.287743343089872,-0.2716671084018074,-0.05854037803053913,-0.5218663549369564,0.7742223999113944,0.2961052452615084,0.0,-0.012303641195020365,1.3402287791911318,-0.0025000000000001132
13,13,1.8946464040156012,0.662488099016173,-0.0690775022764265,-0.6118234167313533,0.6601482280034909,0.0,-0.12987012987012925,-0.020848566120963863,0.9453936507425436,0.010000000000000064
14,14,1.033354817727563,0.44509789691405444,0.01067175432567291,0.002067045372990961,0.14933815695176011,-0.061536532214174794,0.12987012987012925,-0.09882759459778168,0.17437601966415617,0.014999999999999847
15,15,-1.0476405332032606,-0.03588895534990555,0.021907932116899564,0.07169621427817385,-0.14933815695176011,-0.23456871304733362,0.13468013468013496,-0.08912777992556964,-0.691232279148593,0.012500000000000178
16,16,-1.3451004225807566,-0.26417584250218606,0.02858631603783146,0.1204919181944677,0.0,-0.31927309898902767,0.0,-0.05576357453540326,-0.4986503017440582,-5.551115123125783e-17
17,17,-1.0315388041241675,-0.4639208268061634,0.019272756133122515,0.10448913956968764,0.0,-0.14605893807271486,0.13976240391334738,-0.012624153210248013,-0.08757312958405761,-0.0050000000000000044
18,18,-1.027213654225605,-0.29458684268303115,-0.0009354591454231453,0.02676939126886202,-0.31698541159886373,-0.09266373130216443,-0.13976240391334738,0.03038660953248251,-0.0007852865071926729,-0.0025000000000000022
