Unnamed: 0.1,Unique_Key,Quarterly Sum Precip (mm)_diff,CPI Compounded_diff,Debt_to_Asset_Ratio_diff,Mortgage_Debt_to_Real_Estate_Ratio_diff,Depression_diff,Anxiety_diff,Stress_diff,Unemployment Rate_diff,Quarterly Avg Temp (°C)_diff,Therapy_diff2,Province,YEAR,QUARTER,Excellent_Very_Good,Good,Fair_Poor
64,64,-0.1502153738576037,0.2244765505954096,0.0187729575867938,0.0140463764680158,0.132714533393905,-0.3198824291698469,-0.0852514919011095,-0.1390285770254147,-0.0559127238212555,0.0075,Ontario,2022,1,44.9,33.6,21.5
65,65,-0.6083352616340285,-0.2756890358591835,0.02766099465456,0.0880375274665996,0.0,-0.1776229387347793,0.1730478044559813,-0.0951804865533842,-0.8578863777444456,0.005,Ontario,2022,2,45.6,31.7,22.7
66,66,0.0092815674712198,-0.1634456884993047,0.0338681460173861,0.1454157405826042,0.0,-0.1675618764291254,8.881784197001252e-16,-0.0452301746339929,-0.8183962396269608,-0.005,Ontario,2022,3,52.1,31.5,16.4
67,67,0.5723783198806611,-0.4181710381933488,0.024326146365557,0.1290930079966618,-0.132714533393905,-0.0537083841356136,0.0904568068747169,-0.0442482554785916,0.0633242137611911,0.0,Ontario,2022,4,44.6,32.4,23.0
68,68,1.0550969653533588,-0.4219918013021408,0.0045708734429716,0.0467943678314213,-0.2815933767936982,-0.1549486127368429,0.0932400932400927,0.0,0.0890765360308174,0.0074999999999998,Ontario,2023,1,45.0,33.0,22.0
69,69,-0.2420109124378733,0.2537518972499999,0.0008016863364932,0.0148646522545136,-0.3046939800253201,-0.1460589380727148,-0.0932400932400927,0.0238932368370448,0.0709079190206973,-0.0049999999999998,Ontario,2023,2,45.3,33.5,21.1
70,70,0.4066795643701208,0.3614549714942037,-0.0360198535961155,-0.1004150509037893,1.6875389974302383e-14,0.4653320370617425,0.2886002886002883,0.2205507031722664,0.2727503862037581,-0.025,Ontario,2023,3,44.1,33.8,22.1
71,71,1.1825466809247782,-0.0411777092523546,-0.029452577635576,-0.0979034965267381,-0.329800522789574,0.9809886351022762,0.102406554019458,0.1937606650563548,0.734799944196284,-0.015,Prince Edward Island,2021,2,48.7,33.1,18.1
72,72,0.4498610453172773,-0.0897332755739888,-0.0314928105825988,-0.1113048612848406,0.6344945028148773,0.5628865659837679,-0.102406554019458,0.1041015453190641,0.397408433757866,5.551115123125783e-17,Prince Edward Island,2021,3,52.1,31.4,16.4
73,73,1.7311907614813578,1.0329507763476895,-0.0343261178552893,-0.143561706012478,0.5419243193537543,0.8407389312329183,0.2081706999739792,0.0905576137682455,-0.5914828746867498,0.0024999999999999,Prince Edward Island,2021,4,52.2,29.7,18.1
74,74,-0.1549828082859932,0.4784407131552752,0.0261404397733397,0.0355499391755548,0.1227242457152158,-0.1991261553255394,-0.4967709885742675,-0.0910112314671307,-0.7838147615242095,0.0175,Prince Edward Island,2022,1,53.2,31.7,15.1
75,75,-0.3552822699177262,-0.5805018130234822,0.033335415764701,0.1103076299394222,0.5468576341284385,-0.4667383895541526,0.1893939393939394,-0.1011347320375173,-1.4028487225442117,0.015,Prince Edward Island,2022,2,49.8,32.5,17.7
76,76,-0.3694315826945917,-0.1479059695011884,0.0356759747234098,0.1537846611356991,-0.2061068832586582,0.0899134791307769,0.0992063492063479,-0.0804611352397928,-1.0430052497642217,0.0,Prince Edward Island,2022,3,56.7,31.0,12.2
77,77,-0.8440978449218832,-0.9390091561883748,0.0272619205241611,0.1452418963402063,-0.2227214356708836,-0.2647878654840105,-0.0992063492063479,-0.0792269360334585,-0.0056613884017595,0.005,Prince Edward Island,2022,4,47.0,32.5,20.6
78,78,-0.3738662495604252,-0.9067874912159046,0.0097240105522433,0.0681943642583188,-0.3683699700802635,-0.3307011485435205,-0.1893939393939385,0.0058720074538038,0.0318807794511211,0.0025,Prince Edward Island,2023,1,44.3,34.4,21.4
79,79,0.359070499237994,0.6371874106350877,0.0108170603973862,0.0528996417614036,-0.4143079101876032,-0.0788611888501518,0.1893939393939394,-0.0052832526767077,0.1192810234500938,0.0024999999999999,Prince Edward Island,2023,2,41.6,36.2,22.2
80,80,-0.7029316978158882,0.4874817216532543,-0.0439492438964428,0.0544080729316036,0.8962011570789545,-1.0193036247668337,-1.371951219512196,0.0023515590025555,0.5056222700111466,-0.0399999999999999,Prince Edward Island,2023,3,48.8,33.7,17.5
81,81,-1.0454101265119269,-0.0267872332252172,-0.0431504061333836,0.0358567784910808,0.7661606302792627,-0.6271328584762462,-0.7964161274265802,-0.0383051019315194,1.3235054526478538,-0.0050000000000001,Quebec,2021,2,53.0,34.3,12.7
82,82,0.3105332106357235,0.1329268859658505,-0.0559821012740322,-0.018016897740784,0.6236097233231805,-0.4574978554108382,-0.411907882419023,-0.105428309959064,1.1652997475854208,0.0075000000000002,Quebec,2021,3,62.0,29.2,8.7
83,83,-1.5231488631783243,0.3475071105164817,-0.0658407795651039,-0.0748993009647812,0.4448553533015453,-0.5592804793707187,-0.592801693719125,-0.1216889589546119,0.1288479468808661,-0.01,Quebec,2021,4,58.9,30.0,11.1
84,84,1.5312365565561894,0.3019759472126626,0.004742924183803,-0.0289631467068195,0.0,-0.0253613935483711,-0.0466200466200459,-0.1031509456111945,-0.3355575499384677,0.0325,Quebec,2022,1,55.8,31.1,13.0
85,85,1.085767274033989,-0.3395806504340968,0.0177433978079668,0.0616886557097027,-0.0864316067035972,0.0,0.0,-0.0887106127070589,-1.2256614718983712,0.005,Quebec,2022,2,56.8,31.8,11.3
86,86,-0.0302475428605539,-0.0615936553994251,0.0244635723246058,0.131193972695315,0.0,-0.0729541603363364,-0.0227842333105496,-0.0474923054334743,-1.0333274197636015,0.0,Quebec,2022,3,67.6,24.0,8.4
87,87,-0.1750099265455524,-0.3808557286331118,0.0148847002788585,0.118473643193829,-0.0456717099579782,-0.0461253288391962,-0.0224441701268092,-0.0196469973631829,0.1032647895640148,0.0,Quebec,2022,4,59.1,28.6,12.3
88,88,-1.207388687946635,-0.2639866257144019,-0.0033867088458034,0.0353198954390738,-0.1476392311952159,-0.0223378397706048,0.0452284034373584,-0.0099701723392937,0.1517453346289365,0.0099999999999999,Quebec,2023,1,59.2,29.3,11.6
89,89,0.2701758503278082,0.2781515074307303,-0.0029941961777977,0.0113628330837892,-0.1080039366840659,-0.0432717786027949,-0.0452284034373584,0.0109617440218865,0.2185664436831187,-0.0099999999999999,Quebec,2023,2,59.2,30.0,10.8
90,90,-1.438681756980424,-0.0307744574736614,0.0151916647132672,0.2024185372190063,-0.3772147714930653,0.3738928344250358,0.4632012352032935,0.1437613456435378,0.456211499178381,0.0175,Quebec,2023,3,55.8,32.0,12.3
91,91,-1.3151294030954226,-0.1077419234395304,0.0179499023250031,0.1698346073573351,-0.5635661697710092,0.6748017068223047,0.7183908045977008,0.1180691177467316,1.0489441506006552,-0.0025,Saskatchewan,2021,2,42.3,35.9,21.8
92,92,-1.890393244998512,-0.3766872342495231,0.0075205624800454,0.1084006131596216,-0.2918537805291684,0.74720368849479,1.028138528138529,0.0649674909160773,0.4576219710050844,-0.0024999999999999,Saskatchewan,2021,3,48.6,35.0,16.4
93,93,-4.355593158242158,0.7315243078192697,-0.000820120002229,0.0452080190272853,-0.4457970925798725,0.8495302819090539,1.4718614718614722,0.0219167486021474,-0.8488690268192127,0.0024999999999999,Saskatchewan,2021,4,47.2,32.1,20.7
94,94,0.5070132431097782,0.5732723932296127,-0.0012145009284436,-0.075658742774789,-0.1227242457152158,-0.1448471282809106,0.0,-0.0861217537626464,-1.1878172101104472,-0.0124999999999999,Saskatchewan,2022,1,46.9,34.1,18.9
95,95,-0.1278074974173586,-0.2299015685663821,0.0057665629683392,0.0214952157107955,-0.1276164091661511,-0.27363702195279,0.0,-0.1128409993481909,-1.8720174993507923,0.005,Saskatchewan,2022,2,47.4,32.9,19.6
96,96,0.6675022297504016,-0.0859697386519919,0.0121943639164727,0.0997852946606957,0.0,-0.129151384068723,0.0,-0.059771743334047,-1.4265777205259709,-0.0075,Saskatchewan,2022,3,45.6,41.7,12.7
97,97,-0.290921681237493,-0.4446742321525305,0.0029872502273087,0.0898893848457829,0.0,-0.2438312829936491,0.1129943502824861,-0.0294138852436067,-0.3170173756254548,0.0075,Saskatchewan,2022,4,41.8,35.2,23.0
98,98,-0.7753378642363247,-0.392869739692353,-0.013970562567739,-6.54059296008036e-05,-0.132714533393905,-0.1150092389255355,0.0,-0.0018674141561736,-0.1029208829770296,-0.0050000000000001,Saskatchewan,2023,1,43.3,36.1,20.6
99,99,0.1547757479091585,0.0607717196502322,-0.010800311955244,-0.0199746841661474,-0.2815933767936982,-0.0558475661155123,-0.1129943502824861,0.0438827262598953,-0.2440265003551349,-0.0024999999999997,Saskatchewan,2023,2,44.8,37.0,18.2
