,Quarterly Avg Temp (°C),Quarterly Sum Precip (mm),CPI Average,CPI value Cumulative,CPI Compounded,Debt_to_Asset_Ratio,Mortgage_Debt_to_Real_Estate_Ratio,Depression,Anxiety,Therapy,Stress,Unemployment Rate
0,3.116087290176577,8.717797887081348,0.4519385572025284,0.8124576844956108,1.3614703880190593,-1.717790349304624,0.9578734204855188,-0.9270559711041066,-0.07643753597711227,0.35,7.692307692307692,2.163323025660538
1,3.6145539143855636,10.747092630102339,0.43822147965407543,0.5725628407478054,1.318747282659627,-1.7219776080746407,0.854983146041308,-1.2702187875087338,0.052713848091610845,0.35,7.692307692307692,2.126245607897519
2,2.8658913680272904,9.678154093971983,0.3583877245225402,0.4257129609385784,1.0781038471488518,-1.7407327554394194,0.729089298020757,-1.1527854850760721,0.0091106723743759,0.3466666666666667,7.5,2.0849817220830755
3,2.342541355024496,8.888194417315589,0.5298057255723159,0.9246512129539339,1.5996128227380446,-1.7511383467959474,0.6368536394492161,-1.2702187875087338,-0.20070934484896327,0.3525,7.2727272727272725,2.0390534807962397
4,2.2655021518418383,10.380269746013347,0.6753771071867171,1.4221737345051912,2.041992829567152,-1.7545841726342661,0.5594783924808289,-1.2702187875087338,-0.37833228358374255,0.35750000000000004,7.142857142857142,1.9375418993968017
5,2.3038012067016544,9.772410142846033,0.5021751599103114,1.137643662255191,1.5216237122421032,-1.7480334921205767,0.5845192813572387,-1.4523238091276298,-0.545894160012868,0.365,7.017543859649122,1.8325814637483102
6,2.2355088906108156,10.14889156509222,0.489426560763391,0.9501286189251601,1.4817261515332019,-1.7335470777103024,0.6925746869205732,-1.6418473470118942,-0.8042018631457923,0.38,7.017543859649122,1.760727359951673
7,2.0976176963403033,10.523782589924593,0.2753772154497537,0.5316780144251599,0.8306165872911269,-1.7273890259557887,0.7885010400446761,-1.839108588412535,-0.8528824543647822,0.3875,7.142857142857142,1.730179530100687
8,2.303258561256204,9.447221813845593,0.15548979078472044,-0.06205605714431639,0.4653086866112482,-1.7372535275216583,0.7999561183599294,-2.480731577773926,-0.9474016774470125,0.4,7.142857142857142,1.7316555451583497
9,2.2814469093099667,9.5,0.30386125533649566,0.1393070158556836,0.9099807620443434,-1.745837202987385,0.7899816902079146,-2.480731577773926,-0.9474016774470125,0.405,7.2727272727272725,1.7404661748405046
10,3.0095680753224374,9.82344135219425,0.3224762318588171,0.404765504417818,0.9674642936954747,-1.8012858457501688,0.3230670884025226,-2.480731577773926,-0.7545511568853245,0.39249999999999996,7.2727272727272725,1.7945333961246306
11,3.844801685392889,11.324751652906125,0.36119259437624124,0.309290728667818,1.085270879324024,-1.8517719047630388,-0.14793646407226935,-2.0444411874201283,-0.4352780578962968,0.3725,7.2727272727272725,1.8137383759740042
12,3.643487340447336,15.612494995995995,0.27109278294396943,0.22051693656213428,0.8136037709222166,-1.910312282793578,-0.6698028190092257,-1.2702187875087338,-0.1391728126347884,0.35,7.2727272727272725,1.8014347347789836
13,3.2268405600525103,17.507141400011598,0.488439225163248,0.8661410398619898,1.4760918699383896,-1.9793897850700044,-1.281626235740579,-0.6100705595052429,-0.1391728126347884,0.3375,7.142857142857142,1.7805861686580198
14,3.1839440949865936,18.540496217739157,0.6354394894133604,1.1539460280030474,1.9211897668524436,-1.9687180307443313,-1.279559190367588,-0.46073240255348286,-0.20070934484896327,0.33999999999999997,7.2727272727272725,1.681758574060238
15,3.1535694062442956,17.4928556845359,0.6238047787254147,1.0963802547564379,1.8853008115025383,-1.9468100986274317,-1.2078629760894142,-0.6100705595052429,-0.4352780578962968,0.355,7.4074074074074066,1.5926307941346685
16,3.144837038703278,16.147755261955144,0.5360342261576866,0.8258958595064378,1.6211249690003524,-1.9182237825896005,-1.0873710578949465,-0.6100705595052429,-0.7545511568853245,0.37,7.4074074074074066,1.5368672195992652
17,3.1392674304684527,15.116216457830975,0.3838457983481882,0.450359534734603,1.157204142194189,-1.898951026456478,-0.9828819183252587,-0.6100705595052429,-0.9006100949580393,0.38,7.547169811320754,1.5242430663890172
18,3.183158808479401,14.089002803605371,0.28662318932428416,0.2510758861377921,0.8626172995111578,-1.8998864856019013,-0.9561125270563969,-0.9270559711041066,-0.9932738262602038,0.3875,7.4074074074074066,1.5546296759214997
19,3.2035136959282693,14.5,0.2729157173780323,0.31581987677296086,0.8221727129847298,-1.9023574813681778,-0.9496176538271727,-1.2702187875087338,-1.0823250025947155,0.39499999999999996,7.2727272727272725,1.5968591302272404
20,3.387476937190865,11.597413504743201,0.448711792511328,0.7993273978593782,1.3524670782132433,-1.8999999487310586,-0.41369461689581377,-1.09522690536836,-0.6522693589713223,0.365,7.017543859649122,1.73091780995705
21,3.839596332949598,10.36822067666386,0.40173242073437554,0.6692956417403182,1.2100974984256663,-1.893094445247059,0.0541839614557268,-0.9270559711041066,-0.32026881897076626,0.34249999999999997,6.779661016949153,1.7770687537757681
22,3.3203915431767985,11.597413504743201,0.3198896363178986,0.3660931168839371,0.9624341122205883,-1.89658224469725,0.42969336381332907,-0.3171667778692674,-0.07643753597711227,0.315,6.451612903225807,1.7728314593000734
23,1.7117242768623688,11.169153951844338,0.5965665335722512,0.9177133494392539,1.8053412508896016,-1.9076358209577238,0.7364627430135174,0.20391616251548744,0.2559690057051319,0.28750000000000003,6.25,1.7448425493966353
