Province,YEAR,QUARTER,Quarterly Avg Temp (°C),Quarterly Sum Precip (mm),CPI Average,CPI value Cumulative ,CPI Compounded,Excellent_Very_Good,Good,Fair_Poor,Debt_to_Asset_Ratio,Mortgage_Debt_to_Real_Estate_Ratio,Depression,Anxiety,Mental Health Help,Therapy,Stress,Unemployment Rate
New Brunswick,2021,4,2.78,173,0.2330464400113308,-0.138408304,0.6978367062107527,44.8,35.5,19.7,0.1618599918050133,0.2454557359874279,0.21,0.36,,0.23,0.2,8.466666667
New Brunswick,2022,1,-6.32,218,1.1877363129204028,2.7491408934707904,3.603603603603589,46.7,35.8,17.5,0.1638340126575979,0.2397458774694053,0.2,0.37,,0.23,0.2,7.7
New Brunswick,2022,2,10.74,291,1.082791467610959,2.3194168323392974,3.277591973244176,44.9,34.9,20.1,0.1757858251521182,0.2605444010241207,0.21,0.36,,0.26,0.17,6.866666667
New Brunswick,2022,3,17.71,351,-0.281428935,-0.519818064,-0.841968912,51.7,34.8,13.5,0.1809503198191699,0.2752019102465061,0.19,0.42,,0.25,0.14,6.966666667
New Brunswick,2022,4,3.74,275,0.072342923,-0.647668394,0.1959503592423583,41,34.7,24.3,0.1812523423897831,0.2819182948490231,0.22,0.36,<1%,0.25,0.17,7.3
New Brunswick,2023,1,-4.64,176,0.5194249608184635,0.5810200129115595,1.5645371577575062,44.3,35.2,20.5,0.1775836569959502,0.2750545634239749,0.2,0.36,,0.26,0.18,6.333333333
New Brunswick,2023,2,10.59,284,0.3847145363363983,0.127064803,1.1553273427470812,47.6,35.7,16.7,0.1780627168837775,0.2739604598689159,0.18,0.35,,0.29,0.18,6.4
New Brunswick,2023,3,17.52,448,0.3583067494560203,0.6317119393556537,1.078680203045712,46.6,31.8,21.6,0.1732816450676892,0.2643359565429347,0.18,0.37,,0.27,0.18,7.45
Newfoundland and Labrador,2021,2,7.62,406,0.3488884654291165,0.6271777,1.0496850944716751,46.6,37.2,16.2,0.1578031436085334,0.3145087647048291,0.18,0.45,,0.21,0.16,13
Newfoundland and Labrador,2021,3,15.14,276,0.277451625,-0.137174211,0.8310249307479145,57,30.2,12.8,0.1555916430184429,0.2994984475758299,0.19,0.42,,0.22,0.17,13.46666667
Newfoundland and Labrador,2021,4,3.78,480,0.1612848662594331,-0.340599455,0.4807692307692512,52.5,29.4,18.1,0.1482052088246083,0.2807999486801167,0.22,0.42,,0.21,0.15,12.23333333
Newfoundland and Labrador,2022,1,-2,557,1.2605452086771107,2.774018944519617,3.827751196172247,49.8,34.5,15.7,0.1486198121110894,0.2726455034660298,0.18,0.41,,0.23,0.18,13.2
Newfoundland and Labrador,2022,2,6.88,345,0.9369884669904036,2.091503267973849,2.8308097432521384,52,29,19,0.1579723645396677,0.2949214564755139,0.21,0.42,,0.21,0.16,10.66666667
Newfoundland and Labrador,2022,3,17.17,440,-0.36401937,-0.898011546,-1.088348271,50.2,31.2,18.6,0.1599362052215127,0.3069907766571847,0.2,0.37,,0.27,0.16,10.53333333
Newfoundland and Labrador,2022,4,4.77,338,0.027488905,-1.150895141,0.064724919,46.9,32.3,20.8,0.1584151826566321,0.3120242999790517,0.2,0.38,,0.25,0.17,10.16666667
Newfoundland and Labrador,2023,1,-3.26,398,0.5163017703774327,0.7055805003207147,1.5523932729624823,48.4,32.8,18.8,0.1540924824901042,0.3037322384983189,0.18,0.38,,0.28,0.16,10.46666667
