Sample,Target,Type,Value
0.0,Excellent_Very_Good,Actual,7.630828937395718
0.0,Excellent_Very_Good,Predicted,6.4300539901950655
1.0,Excellent_Very_Good,Actual,77.99187922401146
1.0,Excellent_Very_Good,Predicted,73.27195085017864
2.0,Excellent_Very_Good,Actual,43.84092314408935
2.0,Excellent_Very_Good,Predicted,49.83147960647969
3.0,Excellent_Very_Good,Actual,72.34651778309413
3.0,Excellent_Very_Good,Predicted,71.21597683879261
4.0,Excellent_Very_Good,Actual,97.79895119966028
4.0,Excellent_Very_Good,Predicted,98.2335446856392
5.0,Excellent_Very_Good,Actual,53.84958704104336
5.0,Excellent_Very_Good,Predicted,59.60254512397839
6.0,Excellent_Very_Good,Actual,50.11204636599379
6.0,Excellent_Very_Good,Predicted,56.12532044766144
7.0,Excellent_Very_Good,Actual,7.205113335976154
7.0,Excellent_Very_Good,Predicted,6.354181467905911
8.0,Excellent_Very_Good,Actual,26.84389801018712
8.0,Excellent_Very_Good,Predicted,28.17179487214111
9.0,Excellent_Very_Good,Actual,49.98825008255599
9.0,Excellent_Very_Good,Predicted,52.92835642006544
10.0,Excellent_Very_Good,Actual,67.92299961209405
10.0,Excellent_Very_Good,Predicted,67.15157777069493
11.0,Excellent_Very_Good,Actual,80.37390361043755
11.0,Excellent_Very_Good,Predicted,73.26185219860352
12.0,Excellent_Very_Good,Actual,38.09411331485384
12.0,Excellent_Very_Good,Predicted,40.71293612966628
13.0,Excellent_Very_Good,Actual,6.593634690590511
13.0,Excellent_Very_Good,Predicted,10.17104390987264
14.0,Excellent_Very_Good,Actual,28.814559930799355
14.0,Excellent_Very_Good,Predicted,30.4765703879914
15.0,Excellent_Very_Good,Actual,90.95935277196136
15.0,Excellent_Very_Good,Predicted,87.26517414510849
16.0,Excellent_Very_Good,Actual,21.33853535799155
16.0,Excellent_Very_Good,Predicted,20.55442610875969
17.0,Excellent_Very_Good,Actual,45.21239618176831
17.0,Excellent_Very_Good,Predicted,42.84931690631576
18.0,Excellent_Very_Good,Actual,93.12060196890218
18.0,Excellent_Very_Good,Predicted,91.92175701959088
19.0,Excellent_Very_Good,Actual,2.4899227550348013
19.0,Excellent_Very_Good,Predicted,7.677463525941492
20.0,Excellent_Very_Good,Actual,60.05489174641225
20.0,Excellent_Very_Good,Predicted,66.17321027998487
21.0,Excellent_Very_Good,Actual,95.01295004136456
21.0,Excellent_Very_Good,Predicted,97.6906228150032
22.0,Excellent_Very_Good,Actual,23.03028790209648
22.0,Excellent_Very_Good,Predicted,25.2252683812098
23.0,Excellent_Very_Good,Actual,54.84899192360304
23.0,Excellent_Very_Good,Predicted,57.55550788182658
24.0,Excellent_Very_Good,Actual,90.91283748867312
24.0,Excellent_Very_Good,Predicted,90.86386874224736
25.0,Excellent_Very_Good,Actual,13.316944575925016
25.0,Excellent_Very_Good,Predicted,13.01429072997675
26.0,Excellent_Very_Good,Actual,52.341258067376586
26.0,Excellent_Very_Good,Predicted,49.64667731787229
27.0,Excellent_Very_Good,Actual,75.04098591020349
27.0,Excellent_Very_Good,Predicted,74.8175161100032
28.0,Excellent_Very_Good,Actual,66.90132408839138
28.0,Excellent_Very_Good,Predicted,75.94111203489642
29.0,Excellent_Very_Good,Actual,46.77528597449807
29.0,Excellent_Very_Good,Predicted,50.25144329151337
30.0,Excellent_Very_Good,Actual,20.48490902977951
30.0,Excellent_Very_Good,Predicted,19.116440936072056
31.0,Excellent_Very_Good,Actual,49.076588909107045
31.0,Excellent_Very_Good,Predicted,47.18888230057296
32.0,Excellent_Very_Good,Actual,37.238468938505896
32.0,Excellent_Very_Good,Predicted,33.78050897216291
33.0,Excellent_Very_Good,Actual,47.74011548515884
